District,Ad #,FM Numbers,BDI,Short Description,Number of Contracts Awarded,Contract Threshold,Major Work Types,Minor Work Types,Under Utilized Work Groups,Contract Amount/Limit,Advertisement Date,Response Deadline Date/Time (*System Time Zone),Shortlist Selection Date,Final Selection Date,Selection Method,Standard Notes
2,23258,,No,SR5(US1) FROM SR206 TO MOULTRIE CREEK,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$1,650,733.00 ",10/10/2022,10/24/2022 17:00,11/14/2022,12/12/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23263,,No,SR25(US441) FROM SR331(WILLISTON ROAD) TO SR24(ARCHER ROAD),1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$587,957.00 ",12/19/2022,1/6/2023 17:00,1/23/2023,2/13/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 9  
 Standard Note 10 "
2,23269,21099616229,No,Continuing Services Materials Verification Testing-East Side,1,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",9/6/2022,9/19/2022 17:00,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23270,,No,Continuing Services Materials Verification Testing-West Side,2,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",9/6/2022,9/20/2022 17:00,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23271,,No,Continuing Services Materials Verification Testing-West Side,2,Technically Prequalified & Unlimited Audit required, 9.3-Highway Materials Testing," 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing 
 10.3-Construction Materials Inspection"," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",9/6/2022,9/20/2022 17:00,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23272,21099513229,No,Consultant PE Lab Testing and Materials Projects Geotech,1,Technically Prequalified & Unlimited Audit required," 9.1-Soil Exploration 
 9.4.1-Standard Foundation Studies"," 9.2-Geotechnical Classification Lab Testing 
 9.4.2-Non-redundant Drilled Shaft Bridge Foundation Studies 
 9.5-Geotechnical Specialty Lab Testing",,"$5,000,000.00 ",9/26/2022,10/10/2022 17:00,10/31/2022,12/5/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23273,,No,District Wide Surveying and Mapping,2,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying"," 8.1-Control Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping",,"$1,500,000.00 ",9/26/2022,10/10/2022 17:00,10/24/2022,12/12/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23274,,No,District Wide Surveying and Mapping,2,Technically Prequalified & Unlimited Audit required," 8.2-Design, Right of Way, Construction Surveying"," 8.1-Control Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping",,"$1,500,000.00 ",9/26/2022,10/10/2022 17:00,10/24/2022,12/12/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 9 
2,23275,21071162201,No,SR200/A1A Widening from CR 107,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.2-Major Highway Design 
 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 4.2.1-Major Bridge Design - Concrete 
 4.2.2-Major Bridge Design - Steel 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration", GROUP 4-Highway Design - Bridges,"$1,200,000.00 ",9/26/2022,10/10/2022 17:00,10/31/2022,12/19/2022, Letter of Response and Interview, Standard Note 8 
2,23276,,No,"""PERMIT"" WORK IN NPDES MS4 DELEGATED COUNTIES",1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.1-Minor Highway Design",, GROUP 3-Highway Design - Roadway,"$1,500,000.00 ",10/31/2022,11/21/2022 17:00,12/5/2022,1/3/2023, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
2,23277," 44330416201 
 44541716201",No,SR5 Traffic Signal Update (E. of 15th St. to W. of 17th St.),2,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection," 8.1-Control Surveying 
 10.3-Construction Materials Inspection",,"$1,059,274.00 ",10/24/2022,11/7/2022 17:00,12/5/2022,12/5/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
2,23278,,No,SR 5A FROM BRIDGE OF LIONS TO CHARLOTTE STREET SEAWALL,1,Technically Prequalified & Unlimited Audit required, 4.1.2-Minor Bridge Design," 3.1-Minor Highway Design 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$2,250,000.00 ",11/14/2022,12/1/2022 17:00,12/12/2022,1/9/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8 "
2,23279,,No,CONTINUING SERVICES LANDSCAPE DESIGN,1,Technically Prequalified & Unlimited Audit required, 15.0-Landscape Architect," 3.1-Minor Highway Design 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration", GROUP 3-Highway Design - Roadway,"$5,000,000.00 ",1/17/2023,1/31/2023 17:00,2/13/2023,3/20/2023, Letter of Response and Interview, Standard Note 8 
2,23280," 43633312201 
 43633712201 
 43742712201",No,RICHARD RD OVER S. PRONG ST. MARY'S RIVER BRIDGE NO. 274114,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,450,000.00 ",11/28/2022,12/12/2022 17:00,1/3/2023,2/6/2023, Letter of Response and Interview, Standard Note 8 
2,23281,,No,MAIN STREET OVER PIMPLE CREEK BRIDGE #385080,1,Technically Prequalified & Unlimited Audit required, 2.0-Proj Development & Environmental (PD&E) Studies," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges","$1,800,000.00 ",12/27/2022,1/11/2023 17:00,1/24/2023,2/28/2023, Letter of Response and Interview, Standard Note 8 
2,23282,,No,GEC Lake City Planning Consultant,1,Technically Prequalified & Unlimited Audit required, 13.5-Subarea/Corridor Planning," 6.1-Traffic Engineering Studies 
 13.3-Policy Planning 
 13.4-Systems Planning 
 13.6-Land Planning/Engineering 
 13.7-Transportation Statistics",,"$5,000,000.00 ",12/12/2022,12/28/2022 17:00,1/17/2023,2/6/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 9 "
2,23283,,No,SR 25 (US 41/US 441) AT SR 238 INTERSECTION IMPROVEMENT,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.1-Minor Highway Design"," 4.1.1-Miscellaneous Structures 
 6.1-Traffic Engineering Studies 
 6.2-Traffic Signal Timing 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 6-Traffic Engineering Studies","$1,250,000.00 ",1/3/2023,1/17/2023 17:00,1/30/2023,3/6/2023, Letter of Response and Interview, Standard Note 8 
2,23284,,No,Urban and Rural Counties Trail Rehabilitation Study,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 13.7-Transportation Statistics",," GROUP 2-Project Development and Environmental (PD&E) Studies 
 GROUP 13-Planning","$1,000,000.00 ",12/27/2022,1/12/2023 17:00,1/23/2023,2/27/2023, Letter of Response and Interview, Standard Note 8 
3,23300,,No,Hybrid CEI Consultant,2,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.4-Minor Bridge & Miscellaneous Structures CEI",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",2/13/2023,2/27/2023 17:00,3/6/2023,3/20/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
3,23308," 21884523201 
 21894943201",No,Design Group 23-14 in Gadsden and Liberty Counties,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying"," GROUP 3-Highway Design - Roadway 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping","$1,355,000.00 ",11/14/2022,12/1/2022 17:00,12/19/2022,1/30/2023, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
3,23312," 21972253201 
 41764323201",No,Design Group 23-11 in Leon County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,670,000.00 ",8/29/2022,9/13/2022 17:00,9/26/2022,10/31/2022, Letter of Response and Interview, Standard Note 8 
3,23314,21988153201,No,Design of SR 369 (US 319) in Leon County,1,Technically Prequalified & Unlimited Audit required, 3.2-Major Highway Design," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$2,000,000.00 ",6/6/2022,6/20/2022 17:00,7/5/2022,8/15/2022, Letter of Response and Oral Presentation, Standard Note 8 
3,23316," 22001723201 
 44118513201",No,Design Group 23-12 in Okaloosa and Gulf Counties,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,695,000.00 ",9/26/2022,10/10/2022 17:00,10/24/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
3,23318,22076223201,Yes,Design SR 77 in Washington County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$575,000.00 ",11/21/2022,12/5/2022 17:00,12/12/2022,1/23/2023, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
3,23319," 22241223201 
 42527733201",No,Design SR 8 (I-10) in Holmes and Escambia Counties,2,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 6.3.1-Intelligent Trans Systems Analysis & Design 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,100,000.00 ",10/3/2022,10/17/2022 17:00,10/31/2022,12/5/2022, Letter of Response and Interview, Standard Note 8 
3,23320," 22245723201 
 44896713201",No,Design Group 23-15 in Escambia County,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,350,000.00 ",12/12/2022,12/27/2022 17:00,1/9/2023,2/13/2023, Letter of Response and Interview, Standard Note 8 
3,23321,22246733201,No,Design SR 8A (I-110) in Escambia County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,100,000.00 ",10/24/2022,11/7/2022 17:00,11/21/2022,1/9/2023, Letter of Response and Interview, Standard Note 8 
3,23326,41931523201,Yes,Design SR 369 in Wakulla County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$800,000.00 ",9/19/2022,10/3/2022 17:00,10/17/2022,11/21/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
3,23327," 42623813201 
 43938013201",No,Design Group 23-09 in Bay County,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping","$1,500,000.00 ",7/25/2022,8/8/2022 17:00,8/22/2022,9/26/2022, Letter of Response and Interview, Standard Note 8 
3,23328,43356923201,Yes,Design of SR 30 (US 98) in Gulf County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying",,"$670,000.00 ",10/10/2022,10/31/2022 17:00,11/7/2022,12/12/2022, Letter of Response and Interview, Standard Note 7 
3,23329," 43622973201 
 44779213201",No,Design Group 23-07 in Santa Rosa County,1,Technically Prequalified & Unlimited Audit required, 3.1-Minor Highway Design," 4.1.1-Miscellaneous Structures 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,325,000.00 ",5/23/2022,6/6/2022 17:00,6/20/2022,8/8/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
3,23330,44091523201,No,Design SR 10 (US 90) Caroline Street in Santa Rosa County,1,Technically Prequalified & Unlimited Audit required, 3.2-Major Highway Design," 3.1-Minor Highway Design 
 4.1.1-Miscellaneous Structures 
 4.1.2-Minor Bridge Design 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 7.3-Signalization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 15.0-Landscape Architect"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations 
 GROUP 15-Landscape Architect","$2,500,000.00 ",9/12/2022,9/26/2022 17:00,10/10/2022,11/28/2022, Letter of Response and Oral Presentation, Standard Note 8 
3,23331,44294013201,Yes,Design CR 65 Roping Rd in Holmes Co. (Bridge No. 524178),1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies",,"$640,000.00 ",8/15/2022,8/29/2022 17:00,9/19/2022,10/17/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 7 
3,23333,44514113201,No,Design SR 20 over Econfina Creek in Bay County,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.3-Photogrammetric Mapping 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,000,000.00 ",10/31/2022,11/21/2022 17:00,11/28/2022,1/3/2023, Letter of Response and Oral Presentation, Standard Note 8 
3,23335,41853821206,No,Traffic Counts and Projections,1,Technically Prequalified & Unlimited Audit required, 13.7-Transportation Statistics,,,"$1,500,000.00 ",10/24/2022,11/7/2022 17:00,11/14/2022,12/19/2022, Letter of Response and Interview, Standard Note 9 
3,23336,42253441204,No,Digital Data Extraction,1,Technically Prequalified & Unlimited Audit required," 8.3-Photogrammetric Mapping 
 13.7-Transportation Statistics",, GROUP 8-Surveying and Mapping,"$1,500,000.00 ",10/3/2022,10/24/2022 17:00,11/14/2022,12/19/2022, Letter of Response and Interview, Standard Note 8 
3,23338,21982022201,No,SR 20/SR 366 PD&E Study in Leon County,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 8.2-Design, Right of Way, Construction Surveying"," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00 ",11/7/2022,11/21/2022 17:00,12/5/2022,1/16/2023, Letter of Response and Oral Presentation, Standard Note 8 
3,23339,22026032201,No,PD&E Study SR 30 (US 98) in Okaloosa County,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 8.2-Design, Right of Way, Construction Surveying"," 3.1-Minor Highway Design 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration"," GROUP 3-Highway Design - Roadway 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,400,000.00 ",7/18/2022,8/1/2022 17:00,8/15/2022,9/19/2022, Letter of Response and Oral Presentation, Standard Note 8 
3,23340,42101232201,No,PD&E Study for SR 173 in Escambia County,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 8.2-Design, Right of Way, Construction Surveying"," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00 ",1/9/2023,1/23/2023 17:00,2/6/2023,3/20/2023, Letter of Response and Oral Presentation, Standard Note 8 
3,23343,44103712201,No,PD&E Study SR 368 to SR 390 in Bay County,1,Technically Prequalified & Unlimited Audit required," 2.0-Proj Development & Environmental (PD&E) Studies 
 3.2-Major Highway Design 
 8.2-Design, Right of Way, Construction Surveying"," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design 
 8.3-Photogrammetric Mapping 
 9.1-Soil Exploration"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$1,500,000.00 ",9/12/2022,9/26/2022 17:00,10/10/2022,11/21/2022, Letter of Response and Oral Presentation, Standard Note 8 
3,23344,,Yes,Continuing Services Acquisition/Relocation Consultant,1,Technically Prequalified & Unlimited Audit required," 21.0-Acquisition, Negot., Closing, & Order of Taking 
 24.0-Acquisition Relocation Assistance",,,"$1,500,000.00 ",1/23/2023,2/6/2023 17:00,2/20/2023,4/10/2023, Letter of Response and Interview, Standard Note 7 
3,23346,22485827202,No,State Bridge Inspection,1,Technically Prequalified & Unlimited Audit required," 5.1-Conventional Bridge Inspection 
 5.3-Complex Bridge Inspection 
 5.4-Bridge Load Rating",, GROUP 5-Bridge Inspection,"$2,500,000.00 ",9/26/2022,10/10/2022 17:00,10/17/2022,11/28/2022, Letter of Response and Abbreviated Technical Proposal, Standard Note 8 
3,23347,,No,MEI Consultant Services,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,000,000.00 ",9/12/2022,9/26/2022 17:00,10/3/2022,10/31/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
3,23350,21783836201,No,CEI SR 30A (US 98) in Bay County,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$4,586,078.00 ",3/27/2023,4/10/2023 17:00,4/17/2023,5/1/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10  
 Standard Note 13"
3,23351,21790966201,No,CEI SR 77 in Washington County,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$5,760,409.00 ",2/13/2023,2/27/2023 17:00,3/6/2023,3/20/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
3,23354,22247616201,No,CEI SR 8 (I-10) @ US 29 Interchange in Escambia County,1,Technically Prequalified & Unlimited Audit required," 10.1-Roadway Construction Engineering Inspection 
 10.4-Minor Bridge & Miscellaneous Structures CEI",," GROUP 10-Construction, Engineering, and Inspection (CEI)","$17,027,702.00 ",2/27/2023,3/13/2023 17:00,3/20/2023,4/24/2023, Letter of Response and Oral Presentation," Standard Note 8  
 Standard Note 10 "
3,23355,22259366201,No,CEI SR 8 (I-10) Interchange @ SR 61 in  Leon County,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection,," GROUP 10-Construction, Engineering, and Inspection (CEI)","$578,366.00 ",10/31/2022,11/15/2022 17:00,11/28/2022,12/12/2022, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
3,23356,21934433201,No,SR 10 (US 90) over Chipola River Bridge No. 530005,1,Technically Prequalified & Unlimited Audit required," 3.1-Minor Highway Design 
 4.1.2-Minor Bridge Design"," 4.1.1-Miscellaneous Structures 
 5.4-Bridge Load Rating 
 7.1-Signing, Pavement Marking & Channelization 
 7.2-Lighting 
 8.1-Control Surveying 
 8.2-Design, Right of Way, Construction Surveying 
 8.4-Right of Way Mapping 
 9.1-Soil Exploration 
 9.2-Geotechnical Classification Lab Testing 
 9.4.1-Standard Foundation Studies"," GROUP 3-Highway Design - Roadway 
 GROUP 4-Highway Design - Bridges 
 GROUP 5-Bridge Inspection 
 GROUP 8-Surveying and Mapping 
 GROUP 9-Soil Exploration, Material Testing, and Foundations","$975,000.00 ",1/23/2023,2/6/2023 17:00,2/27/2023,4/10/2023, Letter of Response and Interview, Standard Note 8 
3,23357,43256816201,No,CEI SR 95 (US 29) in Escambia County,1,Technically Prequalified & Unlimited Audit required, 10.1-Roadway Construction Engineering Inspection, 10.4-Minor Bridge & Miscellaneous Structures CEI," GROUP 10-Construction, Engineering, and Inspection (CEI)","$964,459.00 ",1/23/2023,2/6/2023 17:00,2/13/2023,2/27/2023, Expanded Letter of Response," Standard Note 4  
 Standard Note 8  
 Standard Note 10 "
