Department of General Services - Procurement Division (DGS-PD),,,,,,,,,,,,,
STATE CONTRACTS INDEX LISTING,,,,,,,,,,,,,
The State Contracts Index Listing identifies current Leveraged Procurement Agreements (LPAs). Questions? Contact the Contract Administrator or PDWebmaster@dgs.ca.gov,,,,,,,,,,,,,
"To access individual LPA contract documents and User Instructions, click the direct link in the next cell or go to Cal eProcure (Contract Search): ",,,,,,Cal eProcure (State Contracts Search),,,,,,,
Blank cells indicate no applicable data. Click on contract type acronym in table for definition.,,,,,,,,,,,,,
LAST UPDATED: 12/15/2022,,,,,,,,,,,,,
"Contract Type  
(DGS use only)",Commodity/Service Description,Contract Number,Contractor Name,Contract Start Date,Contract End Date,Extensions Possible (Yes/No),"Mandatory 
(Yes/No)","State Users (Statewide/
Dept Use Only)",Open to Local Agencies  (Yes/No),State Contract Administrator,Phone,"Environmentally Preferable Purchasing
(EPP) Compliant
(Click link to access Buying Green website)","Rebid Information
(Click link to access solicitation)"
SC,"IT Hardware, PC Goods - Microsoft:  Laptops",1-22-70-34,"Insight Public Sector, Inc.",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,EPP,
SC,"IT Hardware, PC Goods - Getac:  Rugged Laptops",1-22-70-35,NWN Corporation,7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Lynne Edison,(279) 946-8417,EPP,
SC,"IT Hardware, PC Goods - Durabook:  Rugged Laptops",1-22-70-36,"Golden Star Technology, Inc. (GST)",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,EPP,
SC,"IT Hardware, PC Goods - Panasonic:  Rugged Laptops",1-22-70-37,"CDW Government, LLC (CDW-G)",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Lynne Edison,(279) 946-8417,EPP,
SC,"IT Hardware, PC Goods - Samsung:  Monitors",1-22-70-38,"Golden Star Technology, Inc. (GST)",7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Eileen Tardiff,(279) 946-8013,EPP,
SC,"IT Hardware, PC Goods - Acer:  Chromebooks",1-22-70-39,Technology Marketing & Management Services (TMMS),7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,EPP,
SC,"IT Hardware, Plotters/Wide Format Printers (Category - Canon)",1-17-70-04D,Ray Morgan Company,1/8/2018,1/7/2023,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,In Development
SC,"IT Hardware, Plotters/Wide Format Printers (Category - HP)",1-17-70-04E,"California Surveying & Drafting Supply, Inc.",1/12/2018,1/11/2023,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,In Development
SC,"IT Hardware, Printers (Lexmark Workgroup)",1-21-70-04B,Granite Data Solutions,8/21/2021,8/20/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,EPP,
SC,"IT Hardware, Printers and MFD's (HP Desktops and MFD's)",1-21-70-04A,NWN Corporation,8/21/2021,8/20/2024,Yes,Yes,Statewide,Yes,Steve Funderburk,(279) 946-8352,EPP,
SC,"IT Hardware, Rugged Tablets, Samsung",1-21-70-08E,"Zones, LLC",8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"IT Hardware, Rugged Tablets, Zebra Technologies",1-21-70-08I,Vantage ID Applications,8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"IT Hardware, Rugged Tablets/Rugged 2-in-1 Devices, Getac",1-21-70-08D,NWN Corporation,8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,EPP,
SC,"IT Hardware, Rugged Tablets/Rugged 2-in-1 Devices, Panasonic",1-21-70-08H,CDW Government LLC (CDW·G),8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Sarah Samaan,(279) 946-8324,EPP,
SC,"IT Hardware, Tablets (Including Rugged)/2-in-1 Devices, Dell",1-21-70-08B,Granite Data Solutions,8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,EPP,
SC,"IT Hardware, Tablets, Apple",1-21-70-08G,"Natix, Inc.",8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"IT Hardware, Tablets/2-in-1 Devices, Microsoft",1-21-70-08A,"Natix, Inc.",8/1/2021,7/31/2024,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Lamps/Lighting, Compact Fluorescent Lamps",,,,,,,,,Erica Seghesio-Groves,(279) 946-8022,,No Current Contract
SC,"Lamps/Lighting, Fluorescent Lamps, High Pressure Sodium Lamps, Metal Halide Lamps",1-17-62-31A,West-Lite Supply Company,4/1/2018,3/31/2023,No,Yes,Statewide,Yes,Erica Seghesio-Groves,(279) 946-8022,EPP,
SC,"Land Surveying Instruments, Trimble Brand",1-21-66-03,"California Surveying and Drafting Supply, Inc.",8/26/2021,8/25/2024,Yes,DOT  and DWR ,Statewide,Yes,Sarah Samaan,(279) 946-8324,,
SC,"License Plate Readers, Automated",1-20-58-47,PCS Mobile,6/1/2020,5/31/2024,Yes,CHP Only,Statewide,Yes,Robb Parkison,(279) 946-8302,,
SC,"Markers, Pavement ",1-20-97-36,"Apex Universal, Inc.",9/25/2020,9/24/2023,Yes,Yes,DOT only,Yes,Robb Parkison,(279) 946-8302,,
SC,"Masks, Respirator and Surgical 
Surgical Level 1-3 (Bulk Pricing)",1-20-65-32DDD,Kumani 101 LLC,2/11/2021,12/7/2023,Yes,Yes,Nationwide,Yes,Willie Orphe,(279) 946-8393,EPP,
SC,"Masks, Respirator and Surgical 
Surgical: Level 1-2 (Bulk Pricing)
Surgical: Level 3 (Standard/Bulk Pricing)",1-20-65-32C,Burgess Brothers,12/9/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sallianne Salinas,(279) 946-8315,EPP,
SC,"Masks, Respirator and Surgical 
Surgical: Level 1-2 (Standard/Bulk Pricing)",1-20-65-32D,California Health Technology Inc.,12/21/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sher Khang,(279) 946-8335,EPP,
SC,"Masks, Respirator and Surgical
N95 Non-Vented (Standard/Bulk Pricing)",1-20-65-32P,"Infomove International, Inc.",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Wei Peach,(279) 946-8388,EPP,
SC,"Masks, Respirator and Surgical
N95 Surgical, Non-Vented (Bulk Pricing)",1-20-65-32S,Medea Medical Products,12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Masks, Respirator and Surgical
N95 Surgical, Vented, Non-Vented (Bulk Pricing)
Surgical Level 1 and Level 2 (Bulk Pricing)",1-20-65-32V,"MW McWong International, LLC",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Willie Orphe,(279) 946-8393,EPP,
SC,"Masks, Respirator and Surgical
N95 Surgical, Vented, Non-Vented (Standard/Bulk Pricing)
Surgical Level 2-3 (Standard/Bulk Pricing)",1-20-65-32PP,"Vizocom ICT, LLC.",12/9/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sher Khang,(279) 946-8335,,
SC,"Masks, Respirator and Surgical
N95 Vented (Bulk Pricing)",1-20-65-32RR,"Imagine Human Health, Inc.",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Wei Peach,(279) 946-8388,,
SC,"Masks, Respirator and Surgical
N95: Non-Vented (Bulk Pricing)
Surgical: Level 1-3 (Bulk Pricing)",1-20-65-32N,"Gold Coast Medical Supply, LP",12/15/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Wei Peach,(279) 946-8388,EPP,
SC,"Masks, Respirator and Surgical
N95: Non-Vented (Bulk Pricing)
Surgical: Level 1-3 (Standard/Bulk Pricing)",1-20-65-32LL ,"Tramever, Inc.",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sher Khang,(279) 946-8335,,
SC,"Masks, Respirator and Surgical
N95: Surgical, (Standard/Bulk Pricing)
Surgical: Level 1-3 (Standard/Bulk Pricing)",1-20-65-32F,Coresivity Inc.,12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sallianne Salinas,(279) 946-8315,EPP,
SC,"Masks, Respirator and Surgical
N95: Surgical, Vented, Non-Vented (Standard/Bulk Pricing)",1-20-65-32BB,ProcureNet America,12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Masks, Respirator and Surgical
N95: Surgical, Vented, Non-Vented (Standard/Bulk Pricing)",1-20-65-32I,Extreme Safety Inc.,12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Masks, Respirator and Surgical
N95: Surgical, Vented, Non-Vented (Standard/Bulk Pricing)
Surgical: Level 1-3 (Standard/Bulk Pricing)",1-20-65-32NN,Victory International Group,12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Masks, Respirator and Surgical
N95: Vented, Non-Vented (Standard/Bulk Pricing)
Surgical: Level: 1-3 (Standard/Bulk Pricing)",1-20-65-32B,American Textile Systems,12/8/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Willie Orphe,(279) 946-8393,EPP,
SC,"Masks, Respirator and Surgical
Surgical Level: 1-3 (Standard and Bulk Pricing)",1-20-65-32OO,Vita-Core Health Corp.,12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Sher Khang,(279) 946-8335,,
SC,"Masks, Respirator and Surgical
Surgical: Level 1 (Standard/Bulk Pricing)",1-20-65-32R,Liberty Paper,12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Wei Peach,(279) 946-8388,,
SC,"Masks, Respirator and Surgical
Surgical: Level 1-3 (Standard/Bulk Pricing)",1-20-65-32H,"ESTCO Enterprises, Inc.",12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Amanda Lewis,(279) 946-7876,EPP,
SC,"Masks, Respirator and Surgical
Surgical: Level 3 (Bulk Pricing)",1-20-65-32UU,"Aptos Logistics, Inc.",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Masks, Respirator and Surgical,
N95 Surgical, Vented, Non-Vented (Standard/Bulk Pricing)",1-20-65-32U,"Moldex-Metric, Inc.",12/10/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Willie Orphe,(279) 946-8393,EPP,
SC,"Masks, Respirator and Surgical,
Surgical Level 1 (Bulk Pricing)",1-20-65-32YY,"Custom Fab, Inc.",12/13/2020,12/7/2023,Yes,Yes,Nationwide,Yes,Amanda Lewis,(279) 946-7876,,
SC,Mobile Solar Panel Electric Vehicle Charger System,1-22-61-16,Beam Global,6/24/2022,6/23/2025,Yes,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,,
SC,Modular Systems Furniture,1-22-71-52,Sam Clar,10/24/2022,10/23/2025,Yes,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,EPP,
SC,"Motorcycle, Law Enforcement ",1-19-23-30,Long Beach BMW Motorcycles,5/2/2019,12/27/2022,No,Yes,Statewide,Yes,Rudolph Jimenez,(279) 946-8312,,
SC,"Paint, Recycled Latex",1-21-80-10,Visions Recycling INC,4/4/2021,4/3/2024,Yes,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,EPP,
SC,"Paper, Carbonless Rolls",1-19-75-41B,Spicers Paper INC,10/13/2019,10/12/2024,No,Yes,DGS (OSP) only,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Paper, Gloss, Matte Roll Stock and Recycled Gloss Sheets",1-18-75-47,"Natix, Inc.",8/1/2018,7/31/2023,No,Yes,Statewide,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Paper, Newsprint, Recycled and Virgin",1-19-75-41A,Veritiv Operating Company,9/10/2019,9/9/2024,No,Yes,DGS (OSP) only,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Paper, Offset Book, Roll, Bond, and Ledger",1-22-75-45A,Veritiv Operating Company,3/12/2022,3/11/2025,Yes,Yes,DGS (OSP) EDD and DMV only,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Paper, Continuous Feed Roll Stock",1-22-75-45B,Veritiv Operating Company,3/12/2022,3/11/2025,Yes,Yes,DGS (OSP) FTB only,No,Willie Orphe,(279) 946-8393,EPP,
SC,"Paper, Recycled Bond Cut Stock",1-22-75-30,"Paper Distributors, Inc. ",11/20/2022,11/19/2025,Yes,Yes,Statewide,Yes,Willie Orphe,(279) 946-8393,EPP,
SC,"Paratransit Buses Class A, Small Light Duty",,,,,,,,,Steve Funderburk,(279) 946-8352,,In Development
SC,"Paratransit Buses Class B, Medium Light Duty",,,,,,,,,Steve Funderburk,(279) 946-8352,,In Development
SC,"Paratransit Buses Class C, Large Light Duty",,,,,,,,,Steve Funderburk,(279) 946-8352,,In Development
SC,Paratransit Minivans Class D,,,,,,,,,Steve Funderburk,(279) 946-8352,,In Development
SC,"Posts, Blocks, Wood Guardrail",,,,,,,,,Sarah Samaan,(279) 946-8324,,No Current Contract
SC,"Posts, Wood Sign, Wooden Survey Stakes",1-17-55-10A ,Gemini Forest Products,12/21/2017,12/20/2022,No,Yes,DOT only,No,Sarah Samaan,(279) 946-8324,,In Development
SC,"Rainwear, Jackets and Pants 
(CHP Use Only)",1-17-84-04,"Stay Safe Solutions, Inc.",3/6/2017,3/5/2023,No,Yes,CHP Only,No,Sallianne Salinas,(279) 946-8315,,
SC,"Salt, De-Icing, Bulk and Bagged",1-21-68-10,"McArthur Farm Supply, Inc",8/7/2021,8/6/2024,Yes,Yes,DOT only,Yes,Wei Peach,(279) 946-8388,,
SC,"Salt, Water Softener",1-18-68-03 ,"Rhodes Consolidated, Inc.",11/21/2018,11/20/2023,No,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-01,Dan Palmer Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02A,Cinderlite Trucking Corp.,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02B,Packway Materials,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02C,Sierra Cascade Aggregates & Asphalt Products,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02D,Dan Palmer Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02E,TNS Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-02F,"Advantage Paving & Excavating, Inc.",8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-03A,Cinderlite Trucking Corp,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-03B,Foster & Son Trucking,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-03C,Dan Palmer Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-03D,Cinderlite Trucking Corp,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-03E,Foster & Son Trucking Corp,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-06A,Dan Palmer Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-06B,Sierra Aggregates,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-07,Sierra Aggregates,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-08,Sierra Aggregates,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-09A,Cinderlite Trucking Corp,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-09B,CW Manning,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-09C,Black Point Cinders,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-10A,Cinderlite Trucking Corp,7/23/2020,7/22/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-10B,"LK Lehman Trucking, Inc.",8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-10C,Dan Palmer Trucking,8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Sand/Cinders, De-icing (Delivered)",1-20-56-10-11,"Sierra Aggregate Company, Inc",8/28/2020,8/27/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,Self-Contained Breathing Apparatus (SCBA),1-22-42-04,Allstar Fire Equipment Inc ,7/1/2022,6/30/2025,Yes,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,,
SC,Self-Contained Breathing Apparatus (SCBA) Compressors,1-19-42-07,Bauer Compressors Inc.,2/11/2019,2/10/2024,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,,
SC,Sheets and Pillowcases,1-18-72-03,American Textile Systems,11/12/2018,11/11/2023,No,Yes,Statewide,Yes,Willie Orphe,(279) 946-8393,,
SC,"Signs, Roadway",1-21-97-32A,Safeway Sign Company,7/24/2021,7/23/2024,Yes,Yes,DOT only,No,Rudolph Jimenez,(279) 946-8312,,
SC,"Signs, Roadway",1-21-97-32B,Safety Network Traffic Signs,7/24/2021,7/23/2024,Yes,Yes,DOT only,No,Rudolph Jimenez,(279) 946-8312,,
SC,"Signs, Roadway",1-21-97-32C,Zumar,7/24/2021,7/23/2024,Yes,Yes,DOT only,No,Rudolph Jimenez,(279) 946-8312,,
SC,"Telecommunication Towers, Self-Supporting",1-16-58-25,"Wireless Structures Consulting, Inc. DBA Western Utility Telecom, Inc.  ",1/25/2016,1/24/2023,No,Yes,Statewide,Yes,Willie Orphe,(279) 946-8393,,
SC,Telemetry/GPS,1-19-58-69,Geotab USA inc. ,6/18/2019,6/17/2024,Yes,Yes,Statewide,Yes,Robb Parkison,(279) 946-8302,,
SC,"Textiles - Towels, Washcloths, Part Wool Blankets, Cotton Thermal Blankets, Natural and Acrylic Blend Blankets",1-22-72-02,American Textile Systems,9/7/2022,9/6/2025,Yes,Yes,Statewide,Yes,Wei Peach,(279) 946-8388,,
SC,"Tires, Medium and Heavy Duty Truck, Bus, Transport and Construction/Agriculture (Con/AG) - Territory 1-17",1-18-26-01F,East Bay Tire Company,1/31/2018,1/30/2023,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Tires, Pursuit, Passenger Car and Light Truck - Territory 2 and 6",1-18-26-01D,Goodyear Tire & Rubber Company,1/31/2018,1/30/2023,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Tires, Pursuit, Passenger Car and Light Truck - Territory 4",1-18-26-01E,"OK Tire Stores, Inc.",1/31/2018,1/30/2023,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Tires, Pursuit, Passenger Car and Light Truck - Territory 5 and 8",1-18-26-01B,Bruce's Tire,1/31/2018,1/30/2023,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,"Tires, Pursuit, Passenger Car and Light Truck - Territory 5 and 8",1-18-26-01C,East Bay Tire Company,1/31/2018,1/30/2023,No,Yes,Statewide,Yes,Frank Martin,(279) 946-8035,EPP,
SC,Toner and Ink Cartridges (New OEM),1-19-75-60,"Rasix Computer Center, Inc.             DBA Academic Supplier",7/8/2019,7/7/2024,Yes,Yes,Statewide,Yes,Sallianne Salinas,(279) 946-8315,EPP,
SC,"Tractor, Firefighting Bulldozer - Caterpillar® D5",1-21-24-10,Holt of California,4/22/2021,4/21/2024,Yes,Yes,CAL FIRE Only,No,Erica Seghesio-Groves,(279) 946-8022,,
SC,Traffic Control Modules,1-20-63-01A,"McCain, Inc.",9/23/2020,9/22/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,Traffic Control Modules,1-20-63-01B,Jasper Electronics,9/23/2020,9/22/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,Traffic Control Modules,1-20-63-01C,"SolarMax LED, Inc.",9/23/2020,9/22/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,Traffic Control Modules,1-20-63-01D,"Western Pacific Signal, LLC",9/23/2020,9/22/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,Traffic Control Modules,1-20-63-01E,Econolite Control Products,9/23/2020,9/22/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, AC Isolator, Cabinets, Controllers, Controller 2070E",1-19-63-01D,Econolite Control Products,4/29/2019,4/28/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, Communication Harness, Signal Monitors, GPS Card, Model 334LC",1-19-63-01B,"McCain, Inc.",4/29/2019,4/28/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, Communication Modules",1-19-63-01A,"GDI Communications, LLC",6/19/2019,4/28/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, GT Battery Back UP System",1-19-63-01E,"ZincFive, LLC",4/29/2019,4/28/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, Loop Detector 222i",1-19-63-01F,"CLR Analytics, Inc.",4/29/2019,4/28/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, Loop Detector 224i",1-19-63-01G,"Control Tech West, Inc.",4/29/2019,4/28/2023,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Control Modules, Switch Pack and Flasher, Loop Detector 222, Magnetic Detectors, DC Isolator, Signal Traffic Components Type I, Signal Traffic Components Type II, Battery Back UP Systems, 2070 Communication Modules",1-19-63-01C,"Western Pacific Signal, LLC",4/29/2019,4/28/2024,Yes,Yes,DOT only,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Traffic Striping Material, Thermoplastic and Paint, Rapid Dry Waterborne",1-22-80-03,"Ennis-Flint, Inc.",3/4/2022,3/3/2025,Yes,Yes,Statewide,Yes,Amanda Lewis,(279) 946-7876,,
SC,"Vehicles, Cars",1-22-23-10A,Lithia Nissan of Fresno,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Cars",1-22-23-10B,Ocean Honda,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Cars",1-22-23-10C,Freeway Toyota,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Cars",1-22-23-10D,Winner Chevrolet,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Cars",1-22-23-10E,US Fleet Source,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Emergency Crew Transports",1-22-23-21C,BME Fire Trucks LLC,7/20/2022,7/19/2025,Yes,CAL FIRE only,Statewide,Yes,Sher Khang,(279) 946-8335,,
SC,"Vehicles, Fire Apparatus, Type 1",1-20-23-21A,"HME, Inc.",7/24/2020,7/23/2023,Yes,OES only,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"Vehicles, Fire Apparatus, Type 3",1-22-23-21B,Boise Mobile Equipment,4/8/2022,4/7/2025,No,CAL FIRE only,Statewide,Yes,Steve Funderburk,(279) 946-8352,,
SC,"Vehicles, Medium/Heavy Duty Zero Emission ",1-19-23-22A,Wondries Fleet Group,6/27/2019,6/26/2023,No,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,In Development
SC,"Vehicles, Medium/Heavy Duty Zero Emission ",1-19-23-22C,Winner Chevrolet,6/27/2019,6/26/2023,No,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,In Development
SC,"Vehicles, Medium/Heavy Duty Zero Emission ",1-19-23-22D,The Lion Electric Co.,6/27/2019,6/26/2023,No,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,In Development
SC,"Vehicles, Trucks",1-22-23-20A,Lithia Nissan of Fresno,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20B,Ocean Honda,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20C,Freeway Toyota,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20D,Winner Chevrolet,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20E,Elk Grove Auto Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20F,Downtown Ford Sales,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
SC,"Vehicles, Trucks",1-22-23-20G,Watsonville Fleet Group,5/1/2022,4/30/2025,Yes,Yes,Statewide,Yes,Eugene Shemereko,(279) 946-8028,EPP,
